,Network,Station,Latitude,Longitude,Distance,Azimuth
389,TA,Y14A,33.938301,-113.004799,79.33592,147.93622
390,TA,Y22D,34.0739,-106.921,76.92887,152.2802
391,TA,Y23A,33.931499,-106.054901,76.47079,152.90061
392,TA,Y24A,33.925701,-105.436096,76.23264,153.35723
393,TA,Y25A,33.922901,-104.692802,75.95513,153.90936
394,TA,Y26A,33.923199,-103.8246,75.64099,154.55907
395,TA,Y27A,33.8839,-103.1633,75.37091,155.05273
396,TA,Y28A,33.9086,-102.247902,75.07579,155.74923
397,TA,Y29A,33.860199,-101.671204,74.83588,156.18363
398,TA,Y30A,33.876598,-100.897797,74.59362,156.77826
399,TA,Y31A,33.962898,-100.261497,74.46607,157.27796
400,TA,Y32A,34.003601,-99.442001,74.24365,157.91729
401,TA,Y33A,34.008099,-98.625603,73.99588,158.55417
402,TA,Y34A,33.957401,-97.757301,73.68832,159.22989
403,TA,Z14A,33.362701,-112.945801,78.82274,147.91792
404,TA,Z22A,33.255501,-106.963898,76.22257,152.15768
405,TA,Z24A,33.3298,-105.364899,75.67412,153.34305
406,TA,Z25A,33.279701,-104.717102,75.38748,153.81881
407,TA,Z26A,33.271599,-103.979797,75.10983,154.36922
408,TA,Z27A,33.314999,-103.2145,74.87413,154.95015
409,TA,Z28A,33.288399,-102.386597,74.55931,155.57434
410,TA,Z29A,33.259499,-101.7062,74.29916,156.08974
411,TA,Z30A,33.286098,-101.128197,74.12858,156.53566
412,TA,Z31A,33.318298,-100.143501,73.83421,157.29848
413,TA,Z32A,33.306599,-99.478302,73.61034,157.81334
414,TA,Z33A,33.286499,-98.764801,73.36831,158.36769
415,TA,Z34A,33.371201,-97.915802,73.18848,159.04304
416,TA,Z35A,33.330799,-97.252998,72.95429,159.56156
